Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Ivycap Ventures,VC,"Seed, Series A",,,,https://ivycapventures.com,,"SEBI AIF2; IN/AIF2/18-19/0564, IN/AIF2/26-27/2243",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
IXP Lifesciences Catalyst,VC,"Seed, Series A",,,,https://ixplifesciences.com,,SEBI AIF1; IN/AIF1/24-25/1664,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
J4S Venture,VC,"Seed, Series A",,,,https://j4salliance.com,,SEBI AIF1; IN/AIF1/24-25/1533,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Jamwant Ventures,VC,"Seed, Series A",,,,https://jamwantventures.com,,SEBI AIF2; IN/AIF2/26-27/2132,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
JSW Ventures,VC,"Seed, Series A",,,,https://jsw.in,,"SEBI AIF2; IN/AIF2/16-17/0239, IN/AIF2/19-20/0714",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
July Ventures,VC,"Seed, Series A",,,,https://julyventures.com,,"SEBI AIF1; IN/AIF1/20-21/0865, IN/AIF2/23-24/1387",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Kitven,VC,"Seed, Series A",,,,https://kitven.in,,SEBI AIF1; IN/AIF1/22-23/1237,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Kitven 4 Avgc,VC,"Seed, Series A",,,,https://kitven.com,,SEBI AIF1; IN/AIF1/18-19/0555,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Lavni Ventures,VC,"Seed, Series A",,,,https://lavni.co.in,,SEBI AIF2; IN/AIF2/24-25/1623,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Lead Angels,Angel,"Pre-Seed, Seed",,,,https://leadangels.in,,SEBI AIF1; IN/AIF1/21-22/0936,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Lichfl,VC,"Seed, Series A",,,,https://lichflamc.com,,"SEBI AIF1; IN/AIF1/25-26/1941, IN/VCF/10-11/0193",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Lok Capital Growth,PE,"Series B, Series C+",,,,https://lokcapital.com,,SEBI AIF2; IN/AIF2/19-20/0762,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Long View Ventures,VC,"Seed, Series A",,,,https://longview-ventures.com,,SEBI AIF1; IN/AIF1/23-24/1412,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Magnifiq Capital,VC,"Seed, Series A",,,,https://magnifiqsecurities.com,,SEBI AIF1; IN/AIF1/22-23/1240,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Makia Capital,VC,"Seed, Series A",,,,https://makiacapital.com,,SEBI AIF1; IN/AIF1/24-25/1666,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Mastermind Jpin Capital Partners,VC,"Seed, Series A",,,,https://mastermindfinance.com,,SEBI AIF1; IN/AIF1/21-22/0931,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Mavenark Credit and Growth,PE,"Series B, Series C+",,,,https://mavenark.co.in,,SEBI AIF2; IN/AIF2/24-25/1699,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Mela Ventures,VC,"Seed, Series A",,,,https://melaventures.in,,"SEBI AIF2; IN/AIF2/20-21/0801, IN/AIF2/25-26/1948",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Menterra Social Impact,VC,"Seed, Series A",,,,https://menterra.com,,"SEBI AIF1; IN/AIF1/15-16/0187, IN/AIF1/19-20/0694, IN/AIF1/25-26/1980",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Merisis Venture Partners,VC,"Seed, Series A",,,,https://merisis.in,,SEBI AIF1; IN/AIF1/21-22/0902,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Mirae Asset Venture Opportunity,VC,"Seed, Series A",,,,https://miraeasset.com,,SEBI AIF2; IN/AIF2/19-20/0764,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Morphosis Venture Capital,VC,"Seed, Series A",,,,https://morphosisvc.in,,SEBI AIF1; IN/AIF1/23-24/1395,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Mount Judi India Micro,VC,"Seed, Series A",,,,https://mountjudi.com,,SEBI AIF1; IN/AIF1/22-23/1068,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Multiply Ventures,VC,"Seed, Series A",,,,https://multiplyventures.com,,"SEBI AIF2; IN/AIF1/19-20/0778, IN/AIF2/25-26/1954",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Navam Venture,VC,"Seed, Series A",,,,https://navamcapital.com,,SEBI AIF2; IN/AIF2/22-23/1244,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Naya Ventures India,VC,"Seed, Series A",,,,https://nayaventures.com,,SEBI AIF2; IN/AIF2/20-21/0819,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Negen Startup Opportunities Angel,Angel,"Pre-Seed, Seed",,,,https://negencapital.com,,SEBI AIF1; IN/AIF1/23-24/1264,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
New Leaf India Consumer,VC,"Seed, Series A",,,,https://newleafia.com,,SEBI AIF2; IN/AIF2/20-21/0800,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Nilacap Venture,VC,"Seed, Series A",,,,https://nilacap.com,,SEBI AIF2; IN/AIF2/24-25/1641,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
OnePoint44,VC,"Seed, Series A",,,,https://onepoint44.com,,SEBI AIF1; IN/AIF1/26-27/2148,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
ONGC Start-up,VC,"Seed, Series A",,,,https://ongc.co.in,,SEBI AIF1; IN/AIF1/18-19/0654,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Orios Venture,VC,"Seed, Series A",,,,https://oriosvp.com,,"SEBI AIF2; IN/AIF1/13-14/0087, IN/AIF1/18-19/0621, IN/AIF2/20-21/0798 (+1)",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Otp Ventures,VC,"Seed, Series A",,,,https://otp.vc,,SEBI AIF2; IN/AIF2/23-24/1409,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Pan IIT,VC,"Seed, Series A",,,,https://paniit.org,,SEBI AIF1; IN/AIF1/19-20/0693,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Pangram Venture Partners,VC,"Seed, Series A",,,,https://pangram.vc,,SEBI AIF2; IN/AIF2/24-25/1683,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Paragon Partners Growth,PE,"Series B, Series C+",,,,https://paragonpartners.in,,SEBI AIF2; IN/AIF2/18-19/0622,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Pavestone Ventures,VC,"Seed, Series A",,,,https://pavestone.vc,,SEBI AIF1; IN/AIF1/21-22/0900,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Peaceful Progress,VC,"Seed, Series A",,,,https://peacefulprogress.in,,SEBI AIF1; IN/AIF1/21-22/0982,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Perpetuity Angel,Angel,"Pre-Seed, Seed",,,,https://perpetuity.co.in,,SEBI AIF1; IN/AIF1/26-27/2120,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Phi Capital,VC,"Seed, Series A",,,,https://phicapital.in,,"SEBI VCF; IN/AIF2/22-23/1056, IN/VCF/10-11/0179",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
PhillipCapital Private Equity & Venture,PE,"Series B, Series C+",,,,https://phillipcapital.in,,SEBI AIF2; IN/AIF2/26-27/2133,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Piper Serica Angel,Angel,"Pre-Seed, Seed",,,,https://piperserica.com,,SEBI AIF1; IN/AIF1/21-22/1028,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Pivot Ventures,VC,"Seed, Series A",,,,https://pivotventures.in,,"SEBI AIF1; IN/AIF1/21-22/1025, IN/AIF2/21-22/0908",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Prana Venture,VC,"Seed, Series A",,,,https://pranaventures.in,,SEBI AIF2; IN/AIF2/26-27/2143,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Refex Capital,VC,"Seed, Series A",,,,https://refex.co.in,,SEBI AIF1; IN/AIF1/19-20/0685,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
