slug,name,type,url
"inno-vest-advisors","Inno-Vest Advisors","Syndicate / Network","https://vcdekho.com/funds/inno-vest-advisors"
"magnivia-ventures","Magnivia Ventures","Syndicate / Network","https://vcdekho.com/funds/magnivia-ventures"
"77-capital","77 Capital","Syndicate / Network","https://vcdekho.com/funds/77-capital"
"rise-capital","Rise Capital","Venture Capital","https://vcdekho.com/funds/rise-capital"
"titan-capital","Titan Capital","Venture Capital","https://vcdekho.com/funds/titan-capital"
"smilodon-venture-partners","Smilodon Venture Partners","Venture Capital","https://vcdekho.com/funds/smilodon-venture-partners"
"brigade-reap","Brigade REAP","Syndicate / Network","https://vcdekho.com/funds/brigade-reap"
"o2-angel-network-llp","O2 Angel Network LLP","Syndicate / Network","https://vcdekho.com/funds/o2-angel-network-llp"
"beej-network","Beej Network","Syndicate / Network","https://vcdekho.com/funds/beej-network"
"blinc-invest","BLinC Invest","Venture Capital","https://vcdekho.com/funds/blinc-invest"
"multiply-ventures","Multiply Ventures","Venture Capital","https://vcdekho.com/funds/multiply-ventures"
"cloud-capital","Cloud Capital","Syndicate / Network","https://vcdekho.com/funds/cloud-capital"
"long-tail-ventures","Long Tail Ventures","Venture Capital","https://vcdekho.com/funds/long-tail-ventures"
"singhvi-heritage-llp-jito-angel-network","Singhvi Heritage LLP / JITO Angel Network","Family Office","https://vcdekho.com/funds/singhvi-heritage-llp-jito-angel-network"
"ecosystem-ventures","Ecosystem Ventures","Venture Capital","https://vcdekho.com/funds/ecosystem-ventures"
"sprout-venture-partners","Sprout Venture Partners","Venture Capital","https://vcdekho.com/funds/sprout-venture-partners"
"blume-ventures","Blume Ventures","Venture Capital","https://vcdekho.com/funds/blume-ventures"
"caspian-equity","Caspian Equity","Venture Capital","https://vcdekho.com/funds/caspian-equity"
"beyond-next-ventures","Beyond Next Ventures","Venture Capital","https://vcdekho.com/funds/beyond-next-ventures"
"vertex-ventures","Vertex Ventures","Venture Capital","https://vcdekho.com/funds/vertex-ventures"
"mayfield-india","Mayfield India","Venture Capital","https://vcdekho.com/funds/mayfield-india"
"anicut-capital","Anicut Capital","Angel / Individual","https://vcdekho.com/funds/anicut-capital"
"arali-ventures","Arali Ventures","Venture Capital","https://vcdekho.com/funds/arali-ventures"
"100x-vc","100X VC","Venture Capital","https://vcdekho.com/funds/100x-vc"
"randev-ventures","Randev Ventures","Family Office","https://vcdekho.com/funds/randev-ventures"
"starfish-growth-partners","Starfish Growth Partners","Venture Capital","https://vcdekho.com/funds/starfish-growth-partners"
"social-alpha","Social Alpha","Incubation/ Acceleration/ Investment","https://vcdekho.com/funds/social-alpha"
"sparrow-capital","Sparrow Capital","Venture Capital","https://vcdekho.com/funds/sparrow-capital"
"rpg-ventures","RPG VENTURES","Family Office","https://vcdekho.com/funds/rpg-ventures"
"samarthya-investment-advisors","Samarthya Investment Advisors","Syndicate / Network","https://vcdekho.com/funds/samarthya-investment-advisors"
"citi-strategic-fintech-investments","Citi Strategic FinTech Investments","Corporate / CVC","https://vcdekho.com/funds/citi-strategic-fintech-investments"
"build3","build3","Angel / Individual","https://vcdekho.com/funds/build3"
"white-venture-capital","White Venture Capital","Venture Capital","https://vcdekho.com/funds/white-venture-capital"
"pavestone-vc","Pavestone VC","Venture Capital","https://vcdekho.com/funds/pavestone-vc"
"piper-serica-angel-fund","Piper Serica Angel Fund","Venture Capital","https://vcdekho.com/funds/piper-serica-angel-fund"
"kira-studio","Kira Studio","Venture Capital","https://vcdekho.com/funds/kira-studio"
"weh-ventures","WEH Ventures","Venture Capital","https://vcdekho.com/funds/weh-ventures"
"stride-ventures","Stride Ventures","Venture Capital","https://vcdekho.com/funds/stride-ventures"
"eximus-ventures","Eximus Ventures","Venture Capital","https://vcdekho.com/funds/eximus-ventures"
"better-capital","Better Capital","Venture Capital","https://vcdekho.com/funds/better-capital"
"alpha-wave-global","Alpha Wave Global","Venture Capital","https://vcdekho.com/funds/alpha-wave-global"
"sachin-bhatt","Sachin Bhatt","Angel / Individual","https://vcdekho.com/funds/sachin-bhatt"
"arkam-ventures","Arkam Ventures","Venture Capital","https://vcdekho.com/funds/arkam-ventures"
"shastra-vc","Shastra VC","Venture Capital","https://vcdekho.com/funds/shastra-vc"
"freeflow-ventures","FreeFlow Ventures","Venture Capital","https://vcdekho.com/funds/freeflow-ventures"
"devc","DeVC","Venture Capital","https://vcdekho.com/funds/devc"
"venture-highway","Venture Highway","Venture Capital","https://vcdekho.com/funds/venture-highway"
"lumis-partners","Lumis Partners","Venture Capital","https://vcdekho.com/funds/lumis-partners"
"alteria-capital","Alteria Capital","Venture Capital","https://vcdekho.com/funds/alteria-capital"
"sauce-vc","Sauce.vc","Venture Capital","https://vcdekho.com/funds/sauce-vc"
"saama","Saama","Venture Capital","https://vcdekho.com/funds/saama"
"tomorrow-capital","Tomorrow Capital","Venture Capital","https://vcdekho.com/funds/tomorrow-capital"
"iron-pillar","Iron Pillar","Venture Capital","https://vcdekho.com/funds/iron-pillar"
"growthcap-ventures","GrowthCap Ventures","Venture Capital","https://vcdekho.com/funds/growthcap-ventures"
"july-ventures","July Ventures","Venture Capital","https://vcdekho.com/funds/july-ventures"
"inflexor-ventures","Inflexor Ventures","Venture Capital","https://vcdekho.com/funds/inflexor-ventures"
"sorin-investments","Sorin Investments","Venture Capital","https://vcdekho.com/funds/sorin-investments"
"enzia-ventures","Enzia Ventures","Venture Capital","https://vcdekho.com/funds/enzia-ventures"
"spiral-ventures-pte-ltd","Spiral Ventures Pte. Ltd.","Venture Capital","https://vcdekho.com/funds/spiral-ventures-pte-ltd"
"waveform-ventures","Waveform Ventures","Venture Capital","https://vcdekho.com/funds/waveform-ventures"
"advantedge-founders","AdvantEdge Founders","Venture Capital","https://vcdekho.com/funds/advantedge-founders"
"nueva-capital","Nueva Capital","Venture Capital","https://vcdekho.com/funds/nueva-capital"
"green-frontier-capital","Green Frontier Capital","Venture Capital","https://vcdekho.com/funds/green-frontier-capital"
"xeed-ventures","Xeed Ventures","Venture Capital","https://vcdekho.com/funds/xeed-ventures"
"norwest-venture-partners","Norwest Venture Partners","Venture Capital","https://vcdekho.com/funds/norwest-venture-partners"
"lodha-ventures","Lodha Ventures","Family Office","https://vcdekho.com/funds/lodha-ventures"
"dsg-consumer-partners","DSG Consumer Partners","Venture Capital","https://vcdekho.com/funds/dsg-consumer-partners"
"wami-capital-single-family-office","Wami Capital - Single Family Office","Family Office","https://vcdekho.com/funds/wami-capital-single-family-office"
"trifecta-capital","Trifecta Capital","Venture Capital","https://vcdekho.com/funds/trifecta-capital"
"kae-capital","Kae Capital","Venture Capital","https://vcdekho.com/funds/kae-capital"
"orios-venture-partners","Orios Venture Partners","Venture Capital","https://vcdekho.com/funds/orios-venture-partners"
"guild-capital","Guild Capital","Venture Capital","https://vcdekho.com/funds/guild-capital"
"stellaris-venture-partners","Stellaris Venture Partners","Venture Capital","https://vcdekho.com/funds/stellaris-venture-partners"
"merak-ventures","Merak Ventures","Venture Capital","https://vcdekho.com/funds/merak-ventures"
"z3partners","Z3Partners","Venture Capital","https://vcdekho.com/funds/z3partners"
"3-peaks-ventures","3 Peaks Ventures","Venture Capital","https://vcdekho.com/funds/3-peaks-ventures"
"upsparks-capital","Upsparks Capital","Venture Capital","https://vcdekho.com/funds/upsparks-capital"
"superb-capital","Superb Capital","Venture Capital","https://vcdekho.com/funds/superb-capital"
"theia-ventures","Theia Ventures","Venture Capital","https://vcdekho.com/funds/theia-ventures"
"lok-capital","Lok Capital","Venture Capital","https://vcdekho.com/funds/lok-capital"
"manjushree-ventures","Manjushree Ventures","Family Office","https://vcdekho.com/funds/manjushree-ventures"
"appreciate-capital","Appreciate Capital","Venture Capital","https://vcdekho.com/funds/appreciate-capital"
"agility-ventures","Agility Ventures","Venture Capital","https://vcdekho.com/funds/agility-ventures"
"eternal-capital-india","Eternal Capital (India)","Venture Capital","https://vcdekho.com/funds/eternal-capital-india"
"888vc","888vc","Venture Capital","https://vcdekho.com/funds/888vc"
"backfuture","BackFuture","Venture Capital","https://vcdekho.com/funds/backfuture"
"blue-ashva-capital","Blue Ashva Capital","Venture Capital","https://vcdekho.com/funds/blue-ashva-capital"
"1818-venture-capital","1818 Venture Capital","Venture Capital","https://vcdekho.com/funds/1818-venture-capital"
"teja-ventures","Teja Ventures","Venture Capital","https://vcdekho.com/funds/teja-ventures"
"upsidedown-vc","UpsideDown VC","Venture Capital","https://vcdekho.com/funds/upsidedown-vc"
"lightpace-vc","LightPace VC","Venture Capital","https://vcdekho.com/funds/lightpace-vc"
"village-global","Village Global","Venture Capital","https://vcdekho.com/funds/village-global"
"operatorvc","OperatorVC","Venture Capital","https://vcdekho.com/funds/operatorvc"
"supermorpheus","Supermorpheus","Venture Capital","https://vcdekho.com/funds/supermorpheus"
"unpopular-ventures","Unpopular Ventures","Venture Capital","https://vcdekho.com/funds/unpopular-ventures"
"orbit-startups","Orbit Startups","Accelerator","https://vcdekho.com/funds/orbit-startups"
"wavelaunch-vc","Wavelaunch VC","Venture Capital","https://vcdekho.com/funds/wavelaunch-vc"
"investopad","Investopad","Venture Capital","https://vcdekho.com/funds/investopad"
"venture-cooperative","Venture Cooperative","Syndicate / Network","https://vcdekho.com/funds/venture-cooperative"
"bertelsmann-india-investments","Bertelsmann India Investments","Corporate / CVC","https://vcdekho.com/funds/bertelsmann-india-investments"
"tiger-global-management","Tiger Global Management","Venture Capital","https://vcdekho.com/funds/tiger-global-management"
"lightrock","Lightrock","Venture Capital","https://vcdekho.com/funds/lightrock"
"unitus-capital","Unitus Capital","Venture Capital","https://vcdekho.com/funds/unitus-capital"
"c4d-partners","C4D Partners","Venture Capital","https://vcdekho.com/funds/c4d-partners"
