slug,name,company,url
"divya-gupta","Divya Gupta","Sharrp Ventures | Harsh Mariwala Investment Office","https://vcdekho.com/investors/divya-gupta"
"leena-dandekar","Leena Dandekar","Raintree Foundation","https://vcdekho.com/investors/leena-dandekar"
"abha-dandekar","Abha Dandekar","Elephant In The Room Consulting","https://vcdekho.com/investors/abha-dandekar"
"shivani-kadu","Shivani Kadu","Spectrum Impact","https://vcdekho.com/investors/shivani-kadu"
"abhishek-sambangi-cfa","Abhishek Sambangi, CFA","Reddy Ventures","https://vcdekho.com/investors/abhishek-sambangi-cfa"
"sanjay-g-v-reddy","Sanjay G V Reddy","Jivi AI","https://vcdekho.com/investors/sanjay-g-v-reddy"
"hershel-mehta","Hershel Mehta","2am VC","https://vcdekho.com/investors/hershel-mehta"
"smeet-mehta","Smeet Mehta","100X VC","https://vcdekho.com/investors/smeet-mehta"
"sampath","Sampath","Kalaari Capital","https://vcdekho.com/investors/sampath"
"kiran","Kiran","Kalaari Capital","https://vcdekho.com/investors/kiran"
"venkatesh","Venkatesh","Chiratae Ventures","https://vcdekho.com/investors/venkatesh"
"ranjith","Ranjith","Chiratae Ventures","https://vcdekho.com/investors/ranjith"
"deepak","Deepak","WestBridge Capital","https://vcdekho.com/investors/deepak"
"rishit","Rishit","WestBridge Capital","https://vcdekho.com/investors/rishit"
"arpit","Arpit","Blume Ventures","https://vcdekho.com/investors/arpit"
"ashish","Ashish","Blume Ventures","https://vcdekho.com/investors/ashish"
"sagar-nishar","Sagar Nishar","Aarii Ventures","https://vcdekho.com/investors/sagar-nishar"
"abhijai-singh","Abhijai Singh","Midas Capital | Baheti Family Office","https://vcdekho.com/investors/abhijai-singh"
"misha-baheti","Misha Baheti","Midas Capital","https://vcdekho.com/investors/misha-baheti"
"ashish-baheti","Ashish Baheti","Midas Capital","https://vcdekho.com/investors/ashish-baheti"
"kruti-kharod","Kruti Kharod","Unilazer Ventures","https://vcdekho.com/investors/kruti-kharod"
